Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates,,,,
General Administration,0201,Establishment Expenses,210,Medical Reimbursement,2102002.0,216.03,280.44,408.53,239.04021,442.72,440.0,241.07,450.0,377.17,421.0,,,,
General Administration,0201,Establishment Expenses,210,Concession in Bus-Pass,2102008.0,0.0,30.0,30.0,0.0,32.0,40.0,0.0,40.0,40.0,45.0,,,,
General Administration,0201,Establishment Expenses,210,Liveries to Employees and Staff,2102015.0,64.11,155.5,115.0,95.05497,127.81,130.0,70.3,130.0,136.0,166.4,,,,
General Administration,0201,Establishment Expenses,210,Performance Incentives,2102016.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
General Administration,0201,Establishment Expenses,210,Health care & Medical Insurance,2102017.0,0.45,70.0,60.3,41.482,60.85,45.0,0.0,45.0,35.0,165.0,,,,
General Administration,0201,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,455.95,0.0,628.35,680.79,,,,
General Administration,0201,Establishment Expenses,210,Family Pension,2103002.0,5.67,8.5,12.4,0.0,10.31,0.0,108.4,0.0,73.79,84.45,,,,
General Administration,0201,Establishment Expenses,210,Payment of Pension and Leave Salary Contributions to Deputationists,2104005.0,22.15,20.0,73.0,76.67987,90.3,100.0,179.6,100.0,50.0,55.0,,,,
General Administration,0201,Administrative Expenses,220,Office Electricity Charges,2201101.0,134.59,169.35,225.05,340.86794,259.31,400.0,260.12,270.0,455.0,480.0,,,,
General Administration,0201,Administrative Expenses,220,Office Water Charges,2201102.0,32.0,68.5,64.95,27.78541,90.0,50.0,39.77,30.0,89.0,95.0,,,,
General Administration,0201,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201.0,23.64,35.02,30.0,7.20784,30.0,30.0,9.1,10.0,31.5,34.3,,,,
General Administration,0201,Administrative Expenses,220,Computer Consumables,2202103.0,1.04,2.0,2.0,0.38063,2.0,5.0,6.43,10.0,7.0,7.0,,,,
General Administration,0201,Administrative Expenses,220,Service Postage,2202104.0,4.8,75.0,85.96,19.75103,91.66,90.0,0.15,5.0,23.0,17.5,,,,
General Administration,0201,Administrative Expenses,220,Travelling and Study Tours,2203001.0,26.96,200.0,201.0,115.92602,204.12,230.0,128.19,130.0,52.0,56.0,,,,
General Administration,0201,Administrative Expenses,220,Hiring Charges for Light Vehicles (Other than Conservancy),2203004.0,122.76,324.35,515.44,663.17216,650.74,975.0,877.64,715.0,1015.0,1086.0,,,,
General Administration,0201,Administrative Expenses,220,Legal Fees,2205101.0,0.0,2.5,2.52,0.05,5.05,20.0,0.06,20.0,15.0,17.3,,,,
General Administration,0201,Administrative Expenses,220,Consultancy Charges,2205201.0,382.73,359.0,254.46,275.66923,264.6,350.0,414.89,340.0,370.5,364.0,,,,
General Administration,0201,Administrative Expenses,220,Other Professional Charges,2205202.0,0.0,0.0,0.0,10.39325,0.0,45.0,15.7,50.0,55.0,63.0,,,,
General Administration,0201,Administrative Expenses,220,Hospitality Expenses,2206004.0,49.44,43.0,42.5,39.08585,45.87,55.0,40.04,65.0,45.0,49.4,,,,
General Administration,0201,Administrative Expenses,220,Organisation of Expenses,2206005.0,0.0,24.75,7.0,30.17982,12.0,170.0,335.71,170.0,492.0,503.0,,,,
General Administration,0201,Administrative Expenses,220,"Meetings, Seminars, Conferences, Exhibitions, etc.",2206006.0,0.39,17.0,24.3,22.94478,25.58,65.0,579.41,30.0,156.0,59.0,,,,
General Administration,0201,Administrative Expenses,220,Contributions to City Managers Association of Andhra Pradesh,2206101.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,,,,
General Administration,0201,Administrative Expenses,220,Subscriptions & Membership Fees,2206102.0,4.19,8.0,8.0,10.75936,9.0,10.0,0.2,10.0,10.0,12.0,,,,
General Administration,0201,Administrative Expenses,220,Miscellaneous Expenses,2208001.0,0.0,2.7,5.16,0.67805,8.0,20.0,60.23,0.0,4030.5,1210.0,,,,
General Administration,0201,Administrative Expenses,220,Petty Contingent Expenses,2208002.0,55.55,507.06,300.0,251.8850308,300.0,575.0,87.81,280.0,112.31,119.0,,,,
General Administration,0201,Administrative Expenses,220,Unforeseen Contingencies,2208005.0,0.0,5.0,2.55,322.71706,7.49,195.0,344.48,240.0,414.23,485.53,,,,
General Administration,0201,Administrative Expenses,220,Payment from 3% Contingency,2208051.0,0.0,1.0,1.0,0.73395,1.0,2.0,12.2,2.0,0.0,0.0,,,,
General Administration,0201,Operation & Maintenance,230,Swatch Bharath,2305120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,232.0,,,,
Total for General Administration (0201),,,,,,8767.89,10476.99,10400.31,11500.5892208,11965.02,16394.0,14281.38,15014.0,21757.08,20908.97,,,,
Public Relations,0202,Establishment Expenses,210,Basic Pay,2101001.0,54.49,65.0,60.0,53.55044,60.0,65.0,49.06,70.0,109.0,115.0,,,,
Public Relations,0202,Establishment Expenses,210,Dearness Allowance,2101002.0,26.06,35.0,20.0,27.12116,30.0,38.0,33.29,35.0,34.0,39.0,,,,
Public Relations,0202,Establishment Expenses,210,House Rent Allowance,2101003.0,15.27,20.0,20.0,14.9107,20.0,17.0,12.7,17.0,30.0,33.0,,,,
Public Relations,0202,Establishment Expenses,210,CCA,2101004.0,1.27,2.0,2.0,2.93579,2.0,5.0,1.03,5.0,6.0,7.0,,,,
Public Relations,0202,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.95,1.0,1.0,0.33157,1.0,1.0,0.96,1.0,2.5,3.0,,,,
Public Relations,0202,Establishment Expenses,210,Interim Relief,2101006.0,0.29,1.0,1.0,4.50682,1.0,18.0,11.31,16.0,3.5,4.0,,,,
Public Relations,0202,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201.0,1.17,2.6,3.0,0.34601,3.0,5.0,0.21,3.0,2.0,2.0,,,,
Public Relations,0202,Administrative Expenses,220,Newspapers & Journals,2202001.0,16.89,54.75,100.44,10.14744,85.46,85.0,8.32,25.0,34.0,38.15,,,,
Public Relations,0202,Administrative Expenses,220,Printing & Stationery,2202101.0,307.73,375.0,400.61,235.97565,727.61,725.0,238.0,270.0,325.0,339.0,,,,
Public Relations,0202,Administrative Expenses,220,Advertisement/Print Media,2206001.0,620.59,600.0,714.7,633.46903,841.56,790.0,347.31,735.0,424.34,458.43,,,,
Public Relations,0202,Administrative Expenses,220,Organisation of Festivals,2206005.0,0.0,0.0,0.0,83.13514,0.0,0.0,58.07,0.0,112.0,125.0,,,,
Public Relations,0202,Administrative Expenses,220,"Meetings, Seminars, Conferences, Exhibitions, etc.",2206006.0,214.8,172.42,230.0,141.1474,720.0,650.0,86.12,140.0,246.12,251.0,,,,
Total for Public Relations (0202),,,,,,1259.51,1328.77,1552.75,1207.57715,2491.63,2399.0,846.38,1317.0,1328.46,1414.58,,,,
Information Technology,0203,Establishment Expenses,210,Basic Pay,2101001.0,25.84,35.0,30.0,24.90233,30.0,32.0,25.66,32.0,35.0,38.0,,,,
Information Technology,0203,Establishment Expenses,210,Dearness Allowance,2101002.0,12.63,20.0,10.0,14.76138,10.0,20.0,18.49,20.0,18.0,20.0,,,,.
Information Technology,0203,Establishment Expenses,210,House Rent Allowance,2101003.0,7.74,11.5,10.0,7.27406,10.0,8.0,7.51,9.0,13.0,15.0,,,,
Information Technology,0203,Establishment Expenses,210,CCA,2101004.0,0.42,1.0,1.0,0.4145,1.0,1.0,0.54,1.0,1.0,1.0,,,,
Information Technology,0203,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.51,6.0,1.0,1.58317,1.0,3.0,2.08,4.0,2.0,2.0,,,,
Information Technology,0203,Establishment Expenses,210,Interim Relief,2101006.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,2.25,2.5,,,,
Information Technology,0203,Establishment Expenses,210,Outsource Agencies Wages(I.T. Professionals),2101021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Information Technology,0203,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,8.0,8.0,,,,
Information Technology,0203,Establishment Expenses,210,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.5,1.5,,,,
Information Technology,0203,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201.0,214.75,219.33,230.0,205.16679,240.0,250.0,181.16,200.0,203.0,214.0,,,,
Information Technology,0203,Administrative Expenses,220,Computer Consumables,2202103.0,107.66,155.8,123.49,143.46306,137.0,145.0,47.61,150.0,321.0,326.0,,,,
Information Technology,0203,Operation & Maintenance,230,Repairs and Maintenance to Computers & Network,2305902.0,118.49,158.0,240.0,156.81395,269.7,400.0,253.53,300.0,252.0,265.0,,,,
Total for Information Technology (0203),,,,,,488.04,606.63,645.49,554.37924,698.7,859.0,544.93,716.0,856.75,893.0,,,,
Legal,0204,Establishment Expenses,210,Basic Pay,2101001.0,15.81,22.0,20.0,20.12464,20.0,25.0,6.06,25.0,18.0,20.0,,,,
Legal,0204,Establishment Expenses,210,Dearness Allowance,2101002.0,7.86,10.0,10.0,11.30135,10.0,16.0,12.13,15.0,9.0,10.0,,,,
Legal,0204,Establishment Expenses,210,House Rent Allowance,2101003.0,5.04,7.0,10.0,5.88742,10.0,7.0,5.02,7.0,9.5,11.0,,,,
Legal,0204,Establishment Expenses,210,CCA,2101004.0,0.26,0.5,1.0,0.00529,1.0,1.0,0.13,1.0,2.0,2.5,,,,
Legal,0204,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.58,1.0,1.0,0.84187,1.0,2.0,4.19,2.0,2.5,3.0,,,,
Legal,0204,Establishment Expenses,210,Interim Relief,2101006.0,0.0,1.0,1.0,0.80644,1.0,3.0,4.1,3.0,1.5,0.5,,,,
Legal,0204,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,9.5,,,,
Legal,0204,Administrative Expenses,220,Legal Fees,2205101.0,159.79,171.0,180.0,167.98036,220.0,210.0,101.42,150.0,156.0,183.0,,,,
Legal,0204,Administrative Expenses,220,Compensation ordered by Courts,2205104.0,11.36,25.0,10.0,83.98762,15.0,25.0,1.5,80.0,136.0,147.0,,,,
Total for Legal (0204),,,,,,200.7,237.5,233.0,290.93499,278.0,289.0,134.55,283.0,343.0,386.5,,,,
Vigilance,0205,Establishment Expenses,210,Basic Pay,2101001.0,23.35,30.0,30.0,23.35744,30.0,30.0,16.04,30.0,40.0,43.0,,,,
Vigilance,0205,Establishment Expenses,210,Dearness Allowance,2101002.0,10.99,15.0,10.0,13.01583,10.0,18.0,12.03,16.0,11.0,12.0,,,,
Vigilance,0205,Establishment Expenses,210,House Rent Allowance,2101003.0,6.83,8.0,10.0,6.36352,10.0,7.0,4.82,8.0,14.0,15.0,,,,
Vigilance,0205,Establishment Expenses,210,CCA,2101004.0,34.94,33.0,20.0,24.3201,20.0,35.0,40.7,42.0,41.0,57.0,,,,
Vigilance,0205,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.9,2.0,2.0,3.44467,2.0,8.0,4.26,7.0,13.0,14.0,,,,
Vigilance,0205,Establishment Expenses,210,Interim Relief,2101006.0,0.0,1.0,1.0,0.27654,1.0,2.0,0.46,1.0,0.5,0.5,,,,
Total for Vigilance (0205),,,,,,77.01,89.0,73.0,70.7781,73.0,100.0,78.31,104.0,119.5,141.5,,,,
Finance & Accounts,0301,Establishment Expenses,210,Basic Pay,2101001.0,835.25,855.01,760.0,574.53659,881.97,720.0,614.24,735.0,900.0,958.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Dearness Allowance,2101002.0,380.43,3918.17,2731.74,344.24335,2915.0,475.0,453.99,440.0,454.0,439.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,House Rent Allowance,2101003.0,233.48,298.76,240.0,161.24861,250.0,178.0,172.61,185.0,376.0,394.5,,,,
Finance & Accounts,0301,Establishment Expenses,210,CCA,2101004.0,21.02,40.1,30.0,12.76163,30.0,20.0,14.68,22.0,37.5,47.5,,,,
Finance & Accounts,0301,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,19.82,16.2,10.0,16.801,10.0,40.0,36.63,35.0,94.5,114.5,,,,
Finance & Accounts,0301,Establishment Expenses,210,Interim Relief,2101006.0,3.34,10.85,20.0,29.08098,20.13,118.0,116.88,106.0,23.53,19.5,,,,
Finance & Accounts,0301,Establishment Expenses,210,Surrender Leave Encashment,2101007.0,185.54,350.0,356.07,171.77164,722.17,720.0,5.08,800.0,139.0,146.38,,,,
Finance & Accounts,0301,Establishment Expenses,210,Medical Reimbursement,2102002.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,3.0,7.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051.0,7.48,345.58,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Concession in Bus-Pass,2102008.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Liveries to Employees and Staff,2102015.0,0.82,1.5,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Service Pension,2103001.0,5443.1,6000.0,5451.5,6850.66064,6000.0,7400.0,2789.73,7240.0,3747.5,4213.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Family Pension,2103002.0,813.58,1069.36,825.0,817.3869,860.0,1225.0,749.64,1430.0,1396.0,1532.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Anticipatory and Provisional Pension,2103003.0,3.96,6.0,5.42,8.44615,6.95,15.0,10.12,20.0,35.0,47.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Old Age Pension,2103004.0,408.06,700.0,770.0,1352.4478,978.91,1740.0,-112.7,1950.0,1139.61,1054.5,,,,
Finance & Accounts,0301,Establishment Expenses,210,Leave encashment on Retirement,2104001.0,925.04,1050.0,1039.09,901.95057,1059.9,1060.0,873.15,1100.0,1081.0,1137.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Death cum Retirement gratuity,2104002.0,1812.87,2400.0,2360.0,1984.03241,2452.15,2450.0,1878.88,2400.0,3264.0,3546.0,,,,
Finance & Accounts,0301,Establishment Expenses,210,Commuted Pension,2104003.0,1268.25,1550.0,1488.28,1226.2991,1738.96,1740.0,1126.07,1700.0,3667.18,4110.1,,,,
Finance & Accounts,0301,Establishment Expenses,210,Employer Contribution for New Pension,2104006.0,0.0,60.0,938.5,530.07954,148.0,200.0,17.6,300.0,106.0,406.0,,,,
Finance & Accounts,0301,Administrative Expenses,220,Office Electricity Charges,2201101.0,80.23,42.0,60.0,15.79605,70.0,70.0,18.97,50.0,3.4,3.0,,,,
Finance & Accounts,0301,Administrative Expenses,220,Office Water Charges,2201102.0,18.34,9.2,9.2,5.64434,12.91,20.0,3.73,10.0,1.0,1.0,,,,
Finance & Accounts,0301,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201.0,12.22,90.3,28.24,7.42275,42.55,50.0,3.28,12.0,7.0,7.6,,,,
Finance & Accounts,0301,Administrative Expenses,220,Hiring Charges for Light Vehicles (Other than Conservancy),2203004.0,0.01,2.0,5.0,0.0,5.0,0.0,3.26,0.0,6.0,6.5,,,,
Finance & Accounts,0301,Administrative Expenses,220,Legal Fees,2205101.0,0.0,0.02,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,,,
Finance & Accounts,0301,Administrative Expenses,220,Consultancy Charges,2205201.0,0.39,476.73,330.0,222.11395,360.0,350.0,34.42,340.0,88.5,61.3,,,,
Finance & Accounts,0301,Administrative Expenses,220,Other Professional Charges,2205202.0,0.0,0.0,0.0,7.36007,69.0,20.0,2.99,25.0,13.0,18.3,,,,
Finance & Accounts,0301,Interest & Finance Charges,240,Interest on Loans,2405001.0,0.0,1000.0,1000.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,,,,
Finance & Accounts,0301,Interest & Finance Charges,240,Interest on Bank Overdrafts,2405002.0,1231.84,1800.0,1792.56,0.0,250.0,0.0,0.0,0.0,0.0,0.0,,,,
Finance & Accounts,0301,Interest & Finance Charges,240,Miscellaneous Bank Charges,2407001.0,15.69,50.0,11.44,1.77924,19.45,20.0,1.94,20.0,14.0,18.0,,,,
Finance & Accounts,0301,Interest & Finance Charges,240,Transaction Processing for Collections,2408003.0,0.0,50.0,50.0,0.0,55.0,70.0,0.0,100.0,124.0,120.0,,,,
Total for Finance & Accounts (0301),,,,,,13720.76,22191.78,20337.04,15241.86331,19183.05,18701.0,9015.15,19020.0,16721.72,18408.68,,,,
Audit ,0302,Establishment Expenses,210,Basic Pay,2101001.0,173.15,254.0,230.0,153.38158,230.0,195.0,154.95,195.0,284.35,306.35,,,,
Audit ,0302,Establishment Expenses,210,Dearness Allowance,2101002.0,81.82,112.0,80.0,96.71049,80.0,135.0,107.04,120.0,68.68,89.02,,,,
Audit ,0302,Establishment Expenses,210,House Rent Allowance,2101003.0,46.34,89.0,70.0,45.46468,70.0,50.0,41.16,50.0,126.79,150.85,,,,
Audit ,0302,Establishment Expenses,210,CCA,2101004.0,4.57,11.65,10.0,3.36663,10.0,5.0,3.12,6.0,27.31,31.0,,,,
Audit ,0302,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.34,4.8,1.0,0.53711,1.0,2.0,4.79,2.0,6.87,7.37,,,,
Audit ,0302,Establishment Expenses,210,Interim Relief,2101006.0,0.0,1.5,2.0,9.15348,2.0,37.0,33.87,33.0,5.5,3.5,,,,
Audit ,0302,Establishment Expenses,210,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,9.19,12.95,,,,
Audit ,0302,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,112.59,0.0,118.06,125.55,,,,
Total for Audit (0302),,,,,,306.22,472.95,393.0,308.61397,393.0,424.0,464.79,406.0,646.75,726.59,,,,
Local Body Elections,0401,Establishment Expenses,210,Basic Pay,2101001.0,75.32,95.0,80.0,84.84501,90.0,105.0,104.4,105.0,140.0,150.0,,,,
Local Body Elections,0401,Establishment Expenses,210,Dearness Allowance,2101002.0,40.25,45.0,30.0,35.61481,30.0,50.0,39.86,45.0,45.0,47.0,,,,
Local Body Elections,0401,Establishment Expenses,210,House Rent Allowance,2101003.0,13.56,35.0,30.0,15.47952,30.0,18.0,15.4,18.0,35.0,38.0,,,,
Local Body Elections,0401,Establishment Expenses,210,CCA,2101004.0,1.09,1.0,1.0,1.29096,1.0,2.0,1.29,3.0,3.0,3.16,,,,
Local Body Elections,0401,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.31,1.0,1.0,0.26823,1.0,1.0,0.39,1.0,1.0,1.05,,,,
Local Body Elections,0401,Establishment Expenses,210,Interim Relief,2101006.0,0.14,1.0,2.0,3.58871,2.0,15.0,13.57,13.0,13.0,13.65,,,,
Local Body Elections,0401,Programme Expenses,250,MP/MLA Elections,2501001.0,26.93,60.0,33.0,39.63016,36.0,100.0,806.57,100.0,306.0,302.0,,,,
Local Body Elections,0401,Programme Expenses,250,Local Body Elections,2501002.0,0.0,20.0,6.1,21.13043,20.1,1600.0,82.75,300.0,742.0,164.1,,,,
Total for Local Body Elections (0401),,,,,,157.6,258.0,183.1,201.84783,210.1,1891.0,1064.23,585.0,1285.0,718.96,,,,
Estate,0600,Establishment Expenses,210.0,Basic Pay,2101001.0,47.26,60.0,50.0,38.6537,50.0,50.0,30.23,50.0,72.25,75.4,,,,
Estate,0600,Establishment Expenses,210.0,Dearness Allowance,2101002.0,19.92,20.0,10.0,23.94894,10.0,30.0,25.43,30.0,20.38,24.0,,,,
Estate,0600,Establishment Expenses,210.0,House Rent Allowance,2101003.0,11.31,20.0,20.0,11.82928,20.0,14.0,9.06,14.0,19.3,23.0,,,,
Estate,0600,Establishment Expenses,210.0,CCA,2101004.0,0.95,1.0,1.0,0.92671,1.0,2.0,0.72,2.0,1.2,1.4,,,,
Estate,0600,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,0.31,1.0,1.0,1.83273,1.0,4.0,3.61,4.0,8.0,10.0,,,,
Estate,0600,Establishment Expenses,210.0,Interim Relief,2101006.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.9,0.25,,,,
Estate,0600,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17,0.0,42.1,48.1,,,,
Estate,0600,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,20.0,35.0,,,,
Total for Estate (0600),,,,,,79.75,102.0,82.0,77.19136,82.0,100.0,106.25,100.0,184.13,217.15,,,,
City and Town Planning,1100,Establishment Expenses,210.0,Basic Pay,2101001.0,607.31,793.49,700.0,605.61169,710.0,760.0,591.84,775.0,931.0,1025.0,,,,
City and Town Planning,1100,Establishment Expenses,210.0,Dearness Allowance,2101002.0,304.44,317.09,220.0,363.53633,480.0,500.0,439.95,465.0,255.0,275.0,,,,
City and Town Planning,1100,Establishment Expenses,210.0,House Rent Allowance,2101003.0,160.7,229.15,180.0,161.40274,190.0,180.0,147.13,185.0,241.5,279.0,,,,
City and Town Planning,1100,Establishment Expenses,210.0,CCA,2101004.0,11.72,31.94,20.0,12.06835,20.0,18.0,11.47,20.0,29.5,31.25,,,,
City and Town Planning,1100,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,4.56,14.55,10.0,14.002,10.0,32.0,49.32,30.0,81.5,89.5,,,,
City and Town Planning,1100,Establishment Expenses,210.0,Interim Relief,2101006.0,1.45,12.7,20.0,25.52598,20.0,105.0,106.07,94.0,12.07,8.0,,,,
City and Town Planning,1100,Establishment Expenses,210.0,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,0.0,51.77,59.47,,,,
City and Town Planning,1100,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,135.09,0.0,101.5,110.5,,,,
